noise_type,num_rows,num_noisy_changed_rows,num_normalization_changed_rows,normalization_changed_percentage,mean_num_normalization_replacements,max_num_normalization_replacements
domain_abbreviation,3166,1530,1531,48.3575489576753,0.63518635502211,3
elongation,3166,3164,3164,99.93682880606444,1.0009475679090334,2
mixed_noise,3166,3135,2673,84.42830069488313,1.4718888186986734,4
no_accent,3166,3162,2469,77.98483891345546,1.547378395451674,19
teencode_colloquial,3166,1541,1541,48.673404927353126,0.6481364497789008,3
typo,3166,3074,378,11.939355653821858,0.11970941250789639,2
